RENDIMENTO_2023;IDEB_2023;INSE_2023;TDI_2023;IED_2023;AFD_2023;DSU_2023;IRD_2023;ATU_2023;HAD_2023;ICG_2023;TNR_2023;SPAECE_MEDIA_2023;INF_2023;PCB_2023;PCH_2023
0.999248;5.2;4.41;17.6;388.5;87.89999999999999;93.3;3.200797;34.2;6.9;3;0.7;248.5427666421755;9.0;11.317567567567568;50.18281535648994
1.0;5.3;4.59;16.2;381.1;92.45;97.3;2.666218;36.1;6.7;3;0.9;253.198011309202;10.0;15.040650406504067;53.03430079155673
0.986377;5.2;4.56;18.0;396.8;89.8;96.9;3.143146;35.5;6.9;3;2.1;248.751304841986;9.0;13.333333333333334;51.03189493433396
0.998493;5.5;4.66;13.6;387.4;97.15;100.0;3.277347;33.6;5.8;3;1.5;260.35333945382;11.0;7.100591715976331;46.297872340425535
1.0;5.2;4.51;13.4;387.5;88.60000000000001;93.6;2.987546;36.1;6.6;4;1.8;249.1680781331285;10.0;18.937644341801384;51.62423178226514
0.98681;5.5;4.56;17.0;389.3;89.12;92.1;2.872671;38.9;7.1;5;1.1;269.7549687951755;9.0;9.109730848861282;47.773766546329725
0.917996;4.8;4.64;20.2;416.2;98.5;97.3;3.243696;34.5;6.4;5;2.0;247.6005236645845;11.0;13.507109004739338;51.65816326530612
0.992392;4.8;4.46;11.3;397.8;92.45;100.0;2.911185;35.4;6.5;6;0.1;242.699239959042;10.0;18.415637860082303;47.45186862967157
1.0;5.2;4.44;12.6;380.5;83.7;90.3;2.858354;37.1;6.8;4;1.1;251.70711805792848;11.0;13.162393162393164;50.86401202103682
1.0;4.6;4.47;11.5;384.0;88.7;88.0;2.554707;33.3;7.0;4;1.2;237.18596436434848;10.0;26.82481751824817;51.8562874251497
0.984635;4.5;4.6;21.0;403.1;92.5;93.9;2.843208;34.5;6.9;4;2.2;233.160102589737;10.0;6.0606060606060606;54.17085427135678
1.0;5.3;4.85;8.7;390.3;89.8;93.5;2.494638;38.4;6.6;4;1.5;257.507706831537;10.0;13.135593220338984;51.09797297297297
1.0;5.1;4.63;11.6;406.1;95.55;100.0;2.724751;29.8;6.9;4;0.4;251.83113187551703;10.0;29.095354523227385;54.50381679389314
0.946549;4.4;4.55;21.6;403.4;99.45;100.0;2.351593;33.6;7.1;5;9.0;234.2927914493505;11.0;12.454873646209386;48.93617021276596
0.995951;4.8;4.49;18.2;383.2;95.2;95.1;2.625683;32.6;6.9;3;1.6;238.147154422396;10.0;20.418848167539267;49.90990990990991
0.995951;5.6;4.68;11.6;394.19999999999993;84.5;91.4;3.265401;35.2;7.0;3;2.5;258.9468903568465;9.0;13.541666666666666;49.280575539568346
0.988968;5.3;4.69;11.0;384.80000000000007;95.05;92.3;3.119382;38.2;6.9;6;0.8;259.21545777427946;10.0;14.673913043478262;48.32167832167833
1.0;5.1;4.63;15.1;382.9;93.0;97.6;3.155244;36.1;6.8;3;0.8;245.381752361359;11.0;10.321100917431194;50.06289308176101
1.0;5.3;4.68;13.6;400.1;81.05;84.4;2.565228;36.0;7.0;4;3.2;252.65767366998;9.0;5.9459459459459465;50.99009900990099
0.998493;5.6;4.62;19.6;390.5;100.0;100.0;3.289749;33.6;6.6;3;1.6;261.072940213849;10.0;10.606060606060606;50.94577553593948
0.993711;5.0;4.44;18.4;399.8;93.3;100.0;2.127891;33.4;7.0;4;0.0;247.756416298119;8.0;8.878504672897195;49.06542056074766
0.950315;5.0;4.65;14.5;394.4;99.55;100.0;2.426009;33.3;7.0;4;1.5;259.520609652368;7.0;10.1620029455081;54.29272281275552
0.9902;4.8;4.43;17.7;372.2;91.99;97.2;2.362906;34.9;6.4;3;3.0;244.0282275817975;10.0;16.155419222903884;54.61783439490446
0.995983;5.1;4.41;18.3;386.7;94.6;98.1;2.611595;33.7;7.0;3;0.8;241.2010670758215;10.0;12.009237875288685;50.943396226415096
0.972427;4.5;4.5;8.4;391.1;97.6;95.7;2.884726;35.1;6.8;4;2.8;230.5485167283405;10.0;9.509202453987731;53.6281179138322
0.959196;4.4;4.66;18.9;415.8;80.9;87.5;2.353931;34.8;7.0;3;2.3;231.153115581346;9.0;10.144927536231885;56.96649029982363
0.982107;5.0;4.48;14.0;396.9;96.3;100.0;2.241233;35.3;7.0;3;1.0;250.5608346185865;8.0;10.7981220657277;48.81889763779528
0.996245;5.0;4.56;14.6;387.1;95.23;100.0;2.918314;35.5;6.9;3;1.2;255.4281195656335;10.0;17.89617486338798;52.0460358056266
0.968192;5.0;4.58;19.5;393.1;83.7;88.1;2.914684;37.0;6.9;5;3.6;241.9142579156265;10.0;9.745762711864408;48.12319538017324
0.995743;5.1;4.56;12.0;370.3;91.0;91.9;2.763069;35.2;7.0;6;0.4;247.2496959817015;10.0;10.542168674698797;49.63855421686747
0.996718;5.1;4.92;13.5;395.2000000000001;91.75;95.2;2.755614;35.9;7.0;4;1.5;243.0792622475595;9.0;19.708029197080293;50.63001145475372
0.985906;5.0;4.49;15.8;404.6;100.0;100.0;2.864185;36.6;7.0;6;3.1;235.946875567631;10.0;13.472485768500947;48.55643044619423
