ID_ESCOLA;NO_ESCOLA;REDE;RENDIMENTO_2023;SAEB_MAT_2023;SAEB_PORT_2023;SAEB_MEDIA_2023;IDEB_2023;INSE_2023;N_ALUNOS_INSE;INSE_CLASSIFICACAO;TDI_2023;IED_2023;Nome do Município;Nome da Escola;Dependência Administrativa;G1;G2;G3;G4;G5;AFD_2023;DSU_2023;IRD_2023;ATU_2023;HAD_2023;ICG_2023;TNR_2023;SPAECE_PORT_2023;SPAECE_MAT_2023;SPAECE_MEDIA_2023;INF_2023;ATU_CENSO_2023;PCB_2023;PCH_2023
23067829;ESCOLA MUNICIPAL DEMOCRITO ROCHA;Municipal;0.987411;232.19;249.37;4.692667;4.6;4.74;244;Nível IV;15.9;381.7;Fortaleza;ESCOLA MUNICIPAL DEMOCRITO ROCHA;Municipal;86.3;0.0;1.7;2.5;9.5;87.64999999999999;90.7;2.497611;35.2;7.0;3;3.3;241.046702673846;234.262915038285;237.6548088560655;10.0;34.47826086956522;10.264900662251655;47.91929382093317
23067977;ESCOLA MUNICIPAL DOLORES ALCANTARA;Municipal;0.988333;241.44;259.87;5.021833;5.0;4.43;200;Nível III;17.6;373.6;Fortaleza;ESCOLA MUNICIPAL DOLORES ALCANTARA;Municipal;75.7;5.0;3.0;0.0;16.3;81.2;86.8;1.823963;33.6;6.9;3;1.1;255.184058825165;236.220805554392;245.7024321897785;10.0;33.625;6.932773109243698;52.66418835192069
23068167;ESCOLA MUNICIPAL EDILSON BRASIL SOAREZ;Municipal;0.985692;247.52;261.57;5.1515;5.1;4.65;234;Nível IV;16.9;403.0;Fortaleza;ESCOLA MUNICIPAL EDILSON BRASIL SOAREZ;Municipal;81.7;0.9;0.4;0.0;17.0;82.62;83.3;1.751395;36.8;6.7;3;1.9;262.214361622967;241.592658258298;251.9035099406325;11.0;36.75;14.76510067114094;53.605442176870746
23068892;ESCOLA MUNICIPAL FREI LAURO SCHWARTE;Municipal;0.997481;259.95;272.79;5.545667;5.5;4.63;202;Nível IV;18.8;386.4;Fortaleza;ESCOLA MUNICIPAL FREI LAURO SCHWARTE;Municipal;90.9;0.0;9.1;0.0;0.0;95.45;100.0;2.471352;34.6;6.8;3;2.0;262.40370203637;246.538328292152;254.47101516426105;9.0;31.476190476190474;7.608695652173914;53.10136157337367
23069015;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSOR ADEMAR NUNES BATISTA;Municipal;1.0;261.29;272.84;5.568833;5.6;4.75;79;Nível IV;8.4;305.79999999999995;Fortaleza;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSOR ADEMAR NUNES BATISTA;Municipal;91.3;8.7;0.0;0.0;0.0;98.26;100.0;2.564353;36.9;10.0;2;1.9;279.700139367476;265.452572292857;272.5763558301665;10.0;36.9;16.117216117216117;54.20054200542005
23069317;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSORA ANTONIETA CALS;Municipal;0.993964;255.53;273.15;5.478;5.4;4.66;95;Nível IV;12.5;328.70000000000005;Fortaleza;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSORA ANTONIETA CALS;Municipal;84.9;0.0;0.0;3.2;11.9;85.54;90.5;2.936662;31.3;10.0;3;4.5;267.807818427418;250.29972651856;259.053772472989;10.0;27.294117647058822;15.654952076677317;50.43103448275862
23069350;ESCOLA MUNICIPAL PROFESSOR JOSE MILITAO DE ALBUQUERQUE;Municipal;1.0;251.02;269.24;5.337667;5.3;4.69;181;Nível IV;11.9;385.7;Fortaleza;ESCOLA MUNICIPAL PROFESSOR JOSE MILITAO DE ALBUQUERQUE;Municipal;85.1;3.6;11.3;0.0;0.0;93.63;100.0;2.328999;35.2;7.0;3;3.3;275.414489662826;239.223204138254;257.31884690054;10.0;31.291666666666668;15.942028985507244;51.53129161118508
23069945;ESCOLA MUNICIPAL GOVERNADOR FAUSTINO DE ALBUQUERQUE;Municipal;0.98463;237.94;251.53;4.8245;4.8;4.71;188;Nível IV;19.2;409.4;Fortaleza;ESCOLA MUNICIPAL GOVERNADOR FAUSTINO DE ALBUQUERQUE;Municipal;90.4;0.0;5.7;0.0;3.9;93.25;95.3;3.006268;34.6;6.9;3;2.6;249.990881690816;236.724634480554;243.357758085685;10.0;34.6;16.61631419939577;54.04624277456648
23069953;ESCOLA MUNICIPAL FRANCISCA ORIA SERPA;Municipal;1.0;280.51;284.05;6.076;6.1;4.57;117;Nível IV;13.3;404.2000000000001;Fortaleza;ESCOLA MUNICIPAL FRANCISCA ORIA SERPA;Municipal;100.0;0.0;0.0;0.0;0.0;100.0;100.0;3.006811;30.0;6.7;3;4.1;268.735005983995;260.63551812991;264.6852620569525;9.0;30.0;7.746478873239436;51.90476190476191
23070021;ESCOLA MUNICIPAL FRANCISCO DOMINGOS DA SILVA;Municipal;0.983893;245.08;257.1;5.036333;5.0;4.34;266;Nível III;16.7;383.7;Fortaleza;ESCOLA MUNICIPAL FRANCISCO DOMINGOS DA SILVA;Municipal;99.1;0.0;0.9;0.0;0.0;99.55;100.0;2.84515;36.0;7.0;5;2.6;261.050720749146;240.673876624246;250.862298686696;10.0;35.638888888888886;8.659549228944247;50.194855806703046
