Nome do Município;ID_ESCOLA;Nome da Escola;Dependência Administrativa;G1;G2;G3;G4;G5;AFD_2023
Fortaleza;23070137;ESCOLA MUNICIPAL CONEGO FRANCISCO PEREIRA DA SILVA;Municipal;67.2;0.0;1.1;0.0;31.7;67.75
Fortaleza;23070188;ESCOLA MUNICIPAL PROFESSORA FERNANDA MARIA DE ALENCAR COLARES;Municipal;96.3;0.0;3.7;0.0;0.0;98.14999999999999
Fortaleza;23070250;ESCOLA MUNICIPAL DE TEMPO INTEGRAL FILGUEIRAS LIMA;Municipal;100.0;0.0;0.0;0.0;0.0;100.0
Fortaleza;23070471;ESCOLA MUNICIPAL GABRIEL CAVALCANTE;Municipal;;;;;;
Fortaleza;23070846;ESCOLA MUNICIPAL DE TEMPO INTEGRAL GUIOMAR DA SILVA ALMEIDA;Municipal;90.6;0.0;0.0;0.0;9.4;90.6
Fortaleza;23070870;ESCOLA MUNICIPAL GUSTAVO BARROSO;Municipal;89.0;6.6;0.0;0.0;4.4;94.28
Fortaleza;23070960;ESCOLA MUNICIPAL HENRIQUETA GALENO;Municipal;94.7;0.0;2.3;0.0;3.0;95.85000000000001
Fortaleza;23071028;ESCOLA MUNICIPAL HILBERTO SILVA;Municipal;;;;;;
Fortaleza;23071168;ESCOLA MUNICIPAL FRANCISCO SILVA CAVALCANTE;Municipal;86.7;2.0;7.9;0.0;3.4;92.25
Fortaleza;23071427;ESCOLA MUNICIPAL ISMAEL PORDEUS;Municipal;96.9;0.0;0.0;0.0;3.1;96.9
Fortaleza;23071435;ESCOLA MUNICIPAL PROFESSOR JACINTO BOTELHO;Municipal;90.3;4.9;4.8;0.0;0.0;96.62
Fortaleza;23071796;ESCOLA MUNICIPAL JOAO GERMANO DA PONTE NETO;Municipal;;;;;;
Fortaleza;23071818;ESCOLA MUNICIPAL PROFESSOR JOAO HIPOLYTO DE AZEVEDO E SA;Municipal;90.7;0.0;9.3;0.0;0.0;95.35000000000001
Fortaleza;23071850;ESCOLA MUNICIPAL JOAO MENDES DE ANDRADE;Municipal;89.8;0.0;10.2;0.0;0.0;94.89999999999999
Fortaleza;23071990;ESCOLA MUNICIPAL PAPA JOAO XXIII;Municipal;;;;;;
Fortaleza;23072016;ESCOLA MUNICIPAL JOAQUIM ALVES;Municipal;;;;;;
Fortaleza;23072156;ESCOLA MUNICIPAL PROFESSOR JOSE SOBREIRA DE AMORIM;Municipal;;;;;;
Fortaleza;23072180;ESCOLA MUNICIPAL PADRE ARIMATEIA DINIZ;Municipal;84.7;4.7;10.6;0.0;0.0;93.76
Fortaleza;23072202;ESCOLA MUNICIPAL JOSE AYRTON TEIXEIRA;Municipal;85.8;0.0;2.0;0.0;12.2;86.8
Fortaleza;23072229;ESCOLA MUNICIPAL VEREADOR JOSE BARROS DE ALENCAR;Municipal;97.5;0.0;0.0;0.0;2.5;97.5
Fortaleza;23072245;ESCOLA MUNICIPAL JOSE BONIFACIO DE SOUSA;Municipal;86.1;0.3;2.8;0.8;10.0;87.89999999999999
Fortaleza;23072270;ESCOLA MUNICIPAL JOSE DE ALENCAR;Municipal;87.9;0.0;9.1;0.0;3.0;92.45
Fortaleza;23072350;ESCOLA MUNICIPAL JOSE DIAS MACEDO;Municipal;;;;;;
Fortaleza;23072504;ESCOLA MUNICIPAL PROFESSOR JOSE PARSIFAL BARROSO;Municipal;79.8;6.0;10.4;0.0;3.8;89.8
Fortaleza;23072512;ESCOLA MUNICIPAL JOSE RAMOS TORRES DE MELO;Municipal;94.3;1.4;2.9;1.4;0.0;97.15
Fortaleza;23072520;ESCOLA MUNICIPAL PROFESSOR JOSE REBOUCAS MACAMBIRA;Municipal;85.4;0.0;6.4;0.0;8.2;88.60000000000001
Fortaleza;23072555;ESCOLA MUNICIPAL DOM JOSE TUPINAMBA DA FROTA;Municipal;;;;;;
Fortaleza;23072563;ESCOLA MUNICIPAL PROFESSOR JOSE VALDEVINO DE CARVALHO;Municipal;;;;;;
Fortaleza;23072911;ESCOLA MUNICIPAL PRESIDENTE KENNEDY;Municipal;85.2;0.0;6.6;3.1;5.1;89.12
Fortaleza;23073080;ESCOLA MUNICIPAL MONSENHOR LINHARES;Municipal;96.5;2.5;0.0;0.0;1.0;98.5
Fortaleza;23073144;ESCOLA MUNICIPAL PROFESSORA LIREDA FACO;Municipal;84.9;0.0;15.1;0.0;0.0;92.45
Fortaleza;23073535;ESCOLA MUNICIPAL MARIA DE JESUS ORIA ALENCAR;Municipal;;;;;;
Fortaleza;23073543;ESCOLA MUNICIPAL MARIA DE LOURDES RIBEIRO JEREISSATI;Municipal;79.5;0.0;8.4;0.0;12.1;83.7
Fortaleza;23073608;ESCOLA MUNICIPAL PROFESSORA MARIA GONDIM DOS SANTOS;Municipal;88.7;0.0;0.0;0.0;11.3;88.7
Fortaleza;23073667;ESCOLA MUNICIPAL MARIA HELENILCE CAVALCANTE LEITE MARTINS;Municipal;89.3;0.0;6.4;0.0;4.3;92.5
Fortaleza;23073748;ESCOLA MUNICIPAL PROFESSORA MARIA STELLA COCHRANE SANTIAGO;Municipal;88.8;0.0;2.0;0.0;9.2;89.8
Fortaleza;23073764;ESCOLA MUNICIPAL MARIA VIVIANE BENEVIDES GOUVEIA;Municipal;91.1;0.0;8.9;0.0;0.0;95.55
Fortaleza;23073772;ESCOLA MUNICIPAL MARIA ZELIA CORREIA DE SOUZA;Municipal;98.9;0.0;1.1;0.0;0.0;99.45
Fortaleza;23073870;ESCOLA MUNICIPAL GENERAL MANOEL CORDEIRO NETO;Municipal;92.9;0.0;4.6;0.0;2.5;95.2
Fortaleza;23073934;ESCOLA MUNICIPAL DOM MANOEL DA SILVA GOMES;Municipal;84.5;0.0;0.0;0.0;15.5;84.5
Fortaleza;23074078;ESCOLA MUNICIPAL MARIETA CALS;Municipal;94.5;0.0;1.1;0.0;4.4;95.05
Fortaleza;23074086;ESCOLA MUNICIPAL MARIETA GUEDES MARTINS;Municipal;90.8;0.0;4.4;0.0;4.8;93.0
Fortaleza;23074124;ESCOLA MUNICIPAL MARTHA DOS MARTINS COELHO GUILHERME;Municipal;80.3;0.0;1.5;0.0;18.2;81.05
Fortaleza;23074140;ESCOLA MUNICIPAL PROFESSOR MARTINZ DE AGUIAR;Municipal;100.0;0.0;0.0;0.0;0.0;100.0
Fortaleza;23074582;ESCOLA MUNICIPAL PARQUE SAO MIGUEL;Municipal;;;;;;
Fortaleza;23074779;ESCOLA MUNICIPAL PROFESSOR MONTEIRO DE MORAES;Municipal;;;;;;
Fortaleza;23074876;ESCOLA MUNICIPAL MOURA BRASIL;Municipal;86.6;0.0;13.4;0.0;0.0;93.3
Fortaleza;23075015;ESCOLA MUNICIPAL MURILO AGUIAR;Municipal;;;;;;
Fortaleza;23075058;ESCOLA MUNICIPAL NARCISA BORGES;Municipal;;;;;;
Fortaleza;23075074;ESCOLA MUNICIPAL PROJETO NASCENTE;Municipal;99.1;0.0;0.9;0.0;0.0;99.55
Fortaleza;23075120;ESCOLA MUNICIPAL NILSON HOLANDA;Municipal;88.8;0.5;4.3;3.2;3.2;91.99000000000001
Fortaleza;23075155;ESCOLA MUNICIPAL CLAUDIO MARTINS;Municipal;92.3;0.0;4.6;0.0;3.1;94.6
Fortaleza;23075856;ESCOLA MUNICIPAL PAULO SARASATE;Municipal;;;;;;
Fortaleza;23076682;ESCOLA MUNICIPAL QUINTINO CUNHA;Municipal;;;;;;
Fortaleza;23076720;ESCOLA MUNICIPAL RACHEL VIANA MARTINS;Municipal;97.6;0.0;0.0;0.0;2.4;97.6
Fortaleza;23076798;ESCOLA MUNICIPAL RACHEL DE QUEIROZ;Municipal;;;;;;
Fortaleza;23077131;ESCOLA MUNICIPAL ROGACIANO LEITE;Municipal;80.9;0.0;0.0;0.0;19.1;80.9
Fortaleza;23077450;ESCOLA MUNICIPAL SEBASTIANA ALDIGUERI;Municipal;92.6;0.0;7.4;0.0;0.0;96.3
Fortaleza;23077468;ESCOLA MUNICIPAL SEBASTIAO DE ABREU;Municipal;89.5;1.6;8.9;0.0;0.0;95.23
Fortaleza;23077611;ESCOLA MUNICIPAL IRMA SIMAS;Municipal;;;;;;
Fortaleza;23077794;ESCOLA MUNICIPAL TAIS MARIA BEZERRA NOGUEIRA;Municipal;82.0;0.0;3.4;0.0;14.6;83.7
