ID_ESCOLA;INF_2023;ATU_CENSO_2023;PCB_2023;PCH_2023
23064854;8.0;26.571428571428573;12.716763005780345;54.83870967741935
23064870;8.0;22.153846153846153;13.114754098360656;53.81944444444444
23064927;9.0;31.516129032258064;18.19757365684575;49.53940634595701
23064994;9.0;23.136363636363637;21.75925925925926;52.25933202357563
23065028;8.0;33.25;20.37735849056604;53.63408521303258
23065052;7.0;17.38095238095238;16.049382716049383;51.78082191780822
23065125;10.0;31.875;12.736660929432015;50.882352941176464
23065192;10.0;36.73076923076923;10.0;51.30890052356021
23065206;9.0;23.551724137931036;3.816793893129771;52.85505124450952
23065265;11.0;37.5;14.469453376205788;53.77777777777778
23065311;8.0;22.878048780487806;10.982658959537572;48.08102345415779
23065346;10.0;37.0;6.451612903225806;43.84384384384384
23065397;9.0;23.38888888888889;29.03225806451613;53.681710213776725
23065621;9.0;27.571428571428573;12.121212121212121;50.51813471502591
23065680;8.0;26.59090909090909;9.146341463414634;48.888888888888886
23065834;9.0;37.291666666666664;10.44776119402985;54.52513966480447
23065958;9.0;27.84;9.917355371900827;53.01724137931034
23066520;9.0;21.066666666666666;24.897959183673468;48.892405063291136
23066628;10.0;23.52777777777778;7.142857142857142;50.413223140495866
23066660;8.0;20.61111111111111;16.923076923076923;52.2911051212938
23067330;9.0;25.375;6.36042402826855;48.029556650246306
23067390;10.0;35.94444444444444;7.954545454545454;51.622874806800624
23067462;10.0;30.23076923076923;9.82905982905983;46.43765903307888
23067543;10.0;33.9375;13.333333333333334;47.790055248618785
23067691;9.0;37.333333333333336;12.195121951219512;50.148809523809526
23067756;9.0;24.958333333333332;3.2818532818532815;50.25041736227045
23067764;9.0;26.238095238095237;14.240506329113925;50.99818511796733
23067829;10.0;34.47826086956522;10.264900662251655;47.91929382093317
23067934;10.0;25.175;24.22145328719723;47.07050645481628
23067977;10.0;33.625;6.932773109243698;52.66418835192069
23068167;11.0;36.75;14.76510067114094;53.605442176870746
23068175;10.0;25.333333333333332;12.313432835820896;51.43540669856459
23068302;8.0;25.27777777777778;6.474820143884892;50.10989010989011
23068469;7.0;23.454545454545453;12.101910828025478;50.775193798449614
23068892;9.0;31.476190476190474;7.608695652173914;53.10136157337367
23069015;10.0;36.9;16.117216117216117;54.20054200542005
23069198;10.0;29.692307692307693;5.952380952380952;47.15025906735752
23069317;10.0;27.294117647058822;15.654952076677317;50.43103448275862
23069350;10.0;31.291666666666668;15.942028985507244;51.53129161118508
23069368;10.0;25.44;13.031914893617023;51.886792452830186
23069538;8.0;26.583333333333332;5.590062111801243;49.52978056426332
23069937;10.0;22.333333333333332;4.119850187265917;52.98507462686567
23069945;10.0;34.6;16.61631419939577;54.04624277456648
23069953;9.0;30.0;7.746478873239436;51.90476190476191
