ID_ESCOLA;INSE_2023;N_ALUNOS_INSE;INSE_CLASSIFICACAO
23257237;4.61;135;Nível IV
23257300;4.65;224;Nível IV
23257342;4.53;270;Nível IV
23257369;4.38;194;Nível III
23257393;4.7;55;Nível IV
23257440;4.5;92;Nível III
23257482;4.89;93;Nível IV
23257644;4.53;103;Nível IV
23257652;4.63;64;Nível IV
23257679;4.67;195;Nível IV
23257750;4.63;92;Nível IV
23257873;4.41;196;Nível III
23259418;4.53;231;Nível IV
23259540;4.75;109;Nível IV
23259558;4.86;113;Nível IV
23259566;4.95;17;Nível IV
23262605;4.6;61;Nível IV
23262613;4.83;117;Nível IV
23263040;4.57;131;Nível IV
23263075;4.75;135;Nível IV
23263113;4.57;140;Nível IV
23263121;4.52;132;Nível IV
23263130;4.57;280;Nível IV
23263148;4.59;126;Nível IV
23263296;4.52;35;Nível IV
23263318;4.6;209;Nível IV
23264152;4.65;166;Nível IV
23264160;4.89;130;Nível IV
23264179;4.65;136;Nível IV
23264187;4.41;143;Nível III
23264209;4.8;148;Nível IV
23264780;4.72;74;Nível IV
23264799;4.62;115;Nível IV
23264810;4.83;61;Nível IV
23269170;4.66;67;Nível IV
23270560;4.59;105;Nível IV
23270675;4.35;217;Nível III
23271493;4.73;101;Nível IV
23271507;4.58;321;Nível IV
23271531;4.43;94;Nível III
23272007;4.92;143;Nível IV
23272694;4.36;144;Nível III
23272708;4.64;92;Nível IV
23272716;4.67;140;Nível IV
23272724;4.64;272;Nível IV
23272740;4.56;205;Nível IV
23272759;4.69;102;Nível IV
23273747;4.9;107;Nível IV
23273755;4.68;157;Nível IV
23273763;4.42;200;Nível III
23274034;4.71;237;Nível IV
23274930;4.99;161;Nível IV
23275006;4.87;112;Nível IV
23275146;4.99;137;Nível IV
23275154;4.65;149;Nível IV
23277238;4.69;107;Nível IV
23277246;4.64;109;Nível IV
23277408;4.71;107;Nível IV
23277564;4.71;110;Nível IV
23277572;4.5;136;Nível III
23279109;4.54;76;Nível IV
23279320;4.59;109;Nível IV
23279621;4.42;102;Nível III
23280689;4.64;113;Nível IV
23280697;4.6;142;Nível IV
23280700;4.51;223;Nível IV
23302615;4.41;158;Nível III
23304812;4.59;102;Nível IV
23324244;4.9;56;Nível IV
23324252;4.45;140;Nível III
23324260;4.57;93;Nível IV
23324279;4.51;294;Nível IV
23325216;4.56;157;Nível IV
23325224;4.57;201;Nível IV
23331615;4.65;122;Nível IV
23529989;4.85;74;Nível IV
23546018;4.65;83;Nível IV
23546026;4.7;173;Nível IV
23546999;4.57;87;Nível IV
23547987;4.55;254;Nível IV
23547995;4.49;199;Nível III
