ID_ESCOLA;NO_ESCOLA;REDE;RENDIMENTO_2023;SAEB_MAT_2023;SAEB_PORT_2023;SAEB_MEDIA_2023;IDEB_2023
23073764;ESCOLA MUNICIPAL MARIA VIVIANE BENEVIDES GOUVEIA;Municipal;1.0;246.96;261.52;5.141333;5.1
23073772;ESCOLA MUNICIPAL MARIA ZELIA CORREIA DE SOUZA;Municipal;0.946549;238.62;242.07;4.678167;4.4
23073870;ESCOLA MUNICIPAL GENERAL MANOEL CORDEIRO NETO;Municipal;0.995951;238.36;248.44;4.78;4.8
23073934;ESCOLA MUNICIPAL DOM MANOEL DA SILVA GOMES;Municipal;0.995951;262.37;275.03;5.623333;5.6
23074078;ESCOLA MUNICIPAL MARIETA CALS;Municipal;0.988968;253.62;268.14;5.362667;5.3
23074086;ESCOLA MUNICIPAL MARIETA GUEDES MARTINS;Municipal;1.0;245.65;257.85;5.058333;5.1
23074124;ESCOLA MUNICIPAL MARTHA DOS MARTINS COELHO GUILHERME;Municipal;1.0;250.81;267.05;5.297667;5.3
23074140;ESCOLA MUNICIPAL PROFESSOR MARTINZ DE AGUIAR;Municipal;0.998493;261.13;272.5;5.5605;5.6
23074876;ESCOLA MUNICIPAL MOURA BRASIL;Municipal;0.993711;241.19;258.72;4.9985;5.0
23075074;ESCOLA MUNICIPAL PROJETO NASCENTE;Municipal;0.950315;254.53;264.02;5.309167;5.0
23075120;ESCOLA MUNICIPAL NILSON HOLANDA;Municipal;0.9902;244.66;248.44;4.885;4.8
23075155;ESCOLA MUNICIPAL CLAUDIO MARTINS;Municipal;0.995983;248.42;258.75;5.1195;5.1
23076720;ESCOLA MUNICIPAL RACHEL VIANA MARTINS;Municipal;0.972427;228.21;248.77;4.616333;4.5
23077131;ESCOLA MUNICIPAL ROGACIANO LEITE;Municipal;0.959196;231.39;243.15;4.575667;4.4
23077450;ESCOLA MUNICIPAL SEBASTIANA ALDIGUERI;Municipal;0.982107;244.85;262.52;5.122833;5.0
23077468;ESCOLA MUNICIPAL SEBASTIAO DE ABREU;Municipal;0.996245;245.83;254.5;5.0055;5.0
23077794;ESCOLA MUNICIPAL TAIS MARIA BEZERRA NOGUEIRA;Municipal;0.968192;246.78;260.15;5.1155;5.0
23078006;ESCOLA MUNICIPAL PROFESSORA TEREZINHA FERREIRA PARENTE;Municipal;0.995743;244.24;261.68;5.098667;5.1
23078030;ESCOLA MUNICIPAL THOMAZ POMPEU SOBRINHO;Municipal;0.996718;249.59;257.8;5.123167;5.1
23078413;ESCOLA MUNICIPAL VICENTE FIALHO;Municipal;0.985906;245.99;260.91;5.115;5.0
23078553;ESCOLA MUNICIPAL WALDEMAR BARROSO;Municipal;0.964823;243.14;255.2;4.972333;4.8
23078596;ESCOLA MUNICIPAL WASHINGTON SOARES;Municipal;0.983448;239.7;254.61;4.905167;4.8
23078600;ESCOLA MUNICIPAL YOLANDA QUEIROZ;Municipal;1.0;238.4;249.22;4.793667;4.8
23078626;ESCOLA MUNICIPAL ZAIRA MONTEIRO GONDIM;Municipal;0.939862;254.22;264.1;5.305333;5.0
23078740;ESCOLA MUNICIPAL DE TEMPO INTEGRAL DIOGO VITAL DE SIQUEIRA;Municipal;1.0;282.56;292.01;6.242833;6.2
23078766;ESCOLA MUNICIPAL CASIMIRO MONTENEGRO;Municipal;0.990107;237.08;240.09;4.6195;4.6
23080124;ESCOLA MUNICIPAL JORNALISTA DURVAL AIRES;Municipal;0.942511;238.01;251.05;4.817667;4.5
23184558;ESCOLA MUNICIPAL MANUEL LIMA SOARES;Municipal;0.983742;233.04;244.99;4.633833;4.6
23184779;ESCOLA MUNICIPAL RAIMUNDO SOARES DE SOUZA;Municipal;1.0;244.68;256.25;5.0155;5.0
23184914;ESCOLA MUNICIPAL PADRE ANTONIO MONTEIRO DA CRUZ;Municipal;0.9794;234.23;238.3;4.542167;4.4
23186160;ESCOLA MUNICIPAL FREI TITO DE ALENCAR LIMA;Municipal;0.977314;248.97;260.31;5.154667;5.0
23187778;ESCOLA MUNICIPAL SANTA MARIA;Municipal;0.988386;250.34;263.22;5.226;5.2
23198818;ESCOLA MUNICIPAL MARIA FELICIO LOPES;Municipal;0.983574;241.35;250.63;4.866333;4.8
23212543;ESCOLA MUNICIPAL PROFESSOR LUIS RECAMONDE CAPELO;Municipal;0.977735;228.48;238.42;4.448333;4.3
23213140;ESCOLA MUNICIPAL MARIA ROCHELLE DA SILVA;Municipal;0.994217;252.28;270.45;5.378833;5.3
23214899;ESCOLA MUNICIPAL EDUCADOR PAULO FREIRE;Municipal;1.0;230.19;230.8;4.349833;4.3
23215267;ESCOLA MUNICIPAL ANTONIO CORREIA LIMA;Municipal;0.992418;250.54;260.83;5.1895;5.2
23233842;ESCOLA MUNICIPAL JOAO ESTANISLAU FACANHA;Municipal;0.977922;246.59;261.56;5.135833;5.0
23234067;ESCOLA MUNICIPAL JONATHAN DA ROCHA ALCOFORADO;Municipal;1.0;267.19;278.82;5.766833;5.8
23234318;ESCOLA MUNICIPAL HERONDINA LIMA CAVALCANTE;Municipal;0.99623;253.8;268.9;5.378333;5.4
23242469;ESCOLA MUNICIPAL CATARINA LIMA DA SILVA;Municipal;0.995492;250.68;255.35;5.1005;5.1
23244305;ESCOLA MUNICIPAL JOSE ALCIDES PINTO;Municipal;1.0;241.78;257.18;4.982667;5.0
23250631;ESCOLA MUNICIPAL PROFESSOR ERNESTO GURGEL;Municipal;0.996718;243.35;254.89;4.970667;5.0
23255641;ESCOLA MUNICIPAL MANOEL RODRIGUES;Municipal;0.998745;257.98;271.19;5.486167;5.5
23255668;ESCOLA MUNICIPAL DOM ANTONIO BATISTA DE FRAGOSO;Municipal;0.988383;248.67;258.79;5.124333;5.1
23255889;ESCOLA MUNICIPAL NOSSA SENHORA DO PERPETUO SOCORRO;Municipal;0.998745;241.32;256.1;4.957;5.0
23256060;ESCOLA MUNICIPAL SAO JOSE;Municipal;0.993194;249.94;255.23;5.086167;5.1
23256761;ESCOLA MUNICIPAL RAIMUNDO MOREIRA SENA;Municipal;0.993;227.11;240.18;4.454833;4.4
23257059;ESCOLA MUNICIPAL PROFESSORA IRENE DE SOUZA PEREIRA;Municipal;0.975601;244.64;258.09;5.0455;4.9
23257369;ESCOLA MUNICIPAL GODOFREDO DE CASTRO FILHO;Municipal;0.978652;249.86;263.2;5.217667;5.1
23259418;ESCOLA MUNICIPAL 11 DE AGOSTO;Municipal;0.994666;251.04;264.67;5.261833;5.2
23259540;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSOR EDGAR LINHARES LIMA;Municipal;0.996973;265.25;263.87;5.485333;5.5
23259558;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSORA MARIA JOSE FERREIRA GOMES;Municipal;1.0;278.19;275.61;5.896667;5.9
23262613;ESCOLA MUNICIPAL DE TEMPO INTEGRAL MARIA DO SOCORRO ALVES CARNEIRO;Municipal;0.997735;262.41;274.95;5.622667;5.6
